game_id,game_type,player_id,player_name,player_role,number_of_votes,target_votes,times_spoken,average_utterance_length,accusation_influence,accusation_influence_on_votes,num_accusations,times_accused
game_play_20240629_223509,1w_claude_on_claude,0,Lucian,Mason,0,1,3,314.0,0.0793650793650793,0.3333333333333333,3,2
game_play_20240629_223509,1w_claude_on_claude,1,Viktor,Villager,1,3,4,255.25,0.340596967531952,3.0,4,3
game_play_20240629_223509,1w_claude_on_claude,2,Semira,Seer,3,1,7,363.57142857142856,0.1635358688930117,0.4285714285714285,7,8
game_play_20240629_223509,1w_claude_on_claude,3,Vladimir,Mason,0,3,4,252.5,0.1916666666666666,2.25,4,6
game_play_20240629_223509,1w_claude_on_claude,4,Mircea,Werewolf,1,3,2,501.5,0.0,1.5,2,1
game_play_20240629_223801,1w_claude_on_claude,0,Kraven,Minion,0,2,2,298.5,0.2589285714285714,1.0,2,0
game_play_20240629_223801,1w_claude_on_claude,1,Marius,Mason,0,3,2,248.5,0.2,2.5,2,1
game_play_20240629_223801,1w_claude_on_claude,2,Vladimir,Villager,0,3,5,271.2,0.3044444444444444,2.6,5,4
game_play_20240629_223801,1w_claude_on_claude,3,Radu,Werewolf,3,2,6,467.3333333333333,0.176101676101676,1.6666666666666667,6,6
game_play_20240629_223801,1w_claude_on_claude,4,Emil,Seer,2,3,5,293.2,0.1838468720821662,1.2,5,9
game_play_20240629_224118,1w_claude_on_claude,0,Marius,Minion,0,2,3,328.0,0.1309523809523809,1.6666666666666667,3,3
game_play_20240629_224118,1w_claude_on_claude,1,Selene,Mason,2,3,2,270.0,0.1214285714285714,0.0,2,3
game_play_20240629_224118,1w_claude_on_claude,2,Andrei,Villager,0,3,4,334.5,0.0775641025641025,2.0,4,4
game_play_20240629_224118,1w_claude_on_claude,3,Semira,Werewolf,3,2,7,460.57142857142856,0.044831329661051,0.2857142857142857,6,6
game_play_20240629_224118,1w_claude_on_claude,4,Alexia,Mason,0,3,4,278.25,0.2277777777777777,2.25,4,3
game_play_20240629_224426,1w_claude_on_claude,0,Mircea,Werewolf,1,4,4,363.0,0.3348093083387201,3.0,4,3
game_play_20240629_224426,1w_claude_on_claude,1,Semira,Villager,0,4,5,347.8,0.1181954887218044,2.4,5,5
game_play_20240629_224426,1w_claude_on_claude,2,Selene,Minion,0,4,3,402.3333333333333,0.2444444444444444,3.0,3,4
game_play_20240629_224426,1w_claude_on_claude,3,Michael,Mason,0,4,0,0.0,0.0,0.0,0,0
game_play_20240629_224426,1w_claude_on_claude,4,Lucian,Villager,4,1,8,337.875,0.1667455808080808,0.25,8,8
game_play_20240629_224731,1w_claude_on_claude,0,Selene,Minion,3,2,6,451.1666666666667,0.1761776235460446,1.3333333333333333,6,4
game_play_20240629_224731,1w_claude_on_claude,1,Kraven,Villager,2,3,7,312.2857142857143,0.107209853638425,0.8571428571428571,7,9
game_play_20240629_224731,1w_claude_on_claude,2,Radu,Mason,0,3,3,305.6666666666667,0.2287581699346405,2.333333333333333,3,3
game_play_20240629_224731,1w_claude_on_claude,3,Mircea,Werewolf,0,2,3,542.0,0.1916666666666666,2.0,3,3
game_play_20240629_224731,1w_claude_on_claude,4,Cristina,Mason,0,3,1,484.0,0.2,3.0,1,1
game_play_20240629_225047,1w_claude_on_claude,0,Lucian,Mason,0,3,3,320.6666666666667,0.0392156862745098,1.6666666666666667,3,7
game_play_20240629_225047,1w_claude_on_claude,1,Selene,Mason,0,3,2,201.5,0.2289473684210526,1.0,2,1
game_play_20240629_225047,1w_claude_on_claude,2,Alexia,Villager,2,3,6,288.6666666666667,0.2355820105820106,1.5,6,4
game_play_20240629_225047,1w_claude_on_claude,3,Radu,Werewolf,0,2,3,431.6666666666667,0.3208458208458208,2.0,3,2
game_play_20240629_225047,1w_claude_on_claude,4,Dragos,Minion,3,2,6,405.1666666666667,0.0958333333333333,0.6666666666666666,6,6
game_play_20240629_225343,1w_claude_on_claude,0,Stefan,Villager,0,4,3,159.33333333333334,0.2613887660327289,0.0,3,2
game_play_20240629_225343,1w_claude_on_claude,1,Lucian,Seer,0,4,7,334.0,0.222996447996448,2.4285714285714284,7,7
game_play_20240629_225343,1w_claude_on_claude,2,Vladimir,Mason,4,1,7,294.1428571428572,0.1284863945578231,0.4285714285714285,7,6
game_play_20240629_225343,1w_claude_on_claude,3,Alexandra,Werewolf,1,4,3,337.6666666666667,0.0555555555555555,2.6666666666666665,2,4
game_play_20240629_225343,1w_claude_on_claude,4,Marius,Villager,0,4,0,0.0,0.0,0.0,0,0
game_play_20240629_225641,1w_claude_on_claude,0,Emil,Mason,0,4,2,257.0,0.1240601503759398,0.0,2,4
game_play_20240629_225641,1w_claude_on_claude,1,Alexia,Werewolf,0,4,4,395.75,0.0861111111111111,0.5,4,3
game_play_20240629_225641,1w_claude_on_claude,2,Vladimir,Seer,4,1,6,377.1666666666667,0.1257100062247121,0.3333333333333333,6,5
game_play_20240629_225641,1w_claude_on_claude,3,Michael,Mason,0,4,3,350.6666666666667,0.1388888888888888,2.6666666666666665,3,4
game_play_20240629_225641,1w_claude_on_claude,4,Mircea,Minion,1,4,5,467.0,0.1176689976689976,2.4,5,4
game_play_20240629_225937,1w_claude_on_claude,0,Michael,Mason,0,3,3,262.0,0.240454076367389,2.0,2,3
game_play_20240629_225937,1w_claude_on_claude,1,Mircea,Villager,3,2,9,250.11111111111111,0.1209753209753209,0.8888888888888888,9,8
